species	Basigaster proportion	Central ampulla length (um)	Central ampulla width (um)	Cnidoband depth (um)	Cnidoband desmoneme length (um)	Cnidoband desmoneme length (um)	Cnidoband desmoneme number	Cnidoband desmoneme width (um)	Cnidoband desmoneme width (um)	Cnidoband length (um)	Cnidoband width (um)	Cnidosac length (um)	Cnidosac width (um)	Colony length (cm)	Depth (m)	Desmoneme length (um)	Desmoneme/Rhopaloneme ratio	Desmonemes/Rhopalonemes	Desmoneme width (um)	Distal ampulla length (um)	Distal ampulla sidebranch length (um)	Distal ampulla width (um)	Distal haploneme length (um)	Distal haploneme width (um)	Distal heteroneme length (um)	Distal heteroneme width (um)	Fishing cycle frequency (times/hour)	Gastrozooid length (fixed) (mm)	Gastrozooid length (mm)	Haploneme length (um)	Haploneme number	Haploneme width (um)	Heteroneme length (um)	Heteroneme number	Heteroneme shaft length (um)	Heteroneme shaft width (um)	Heteroneme spine length (um)	Heteroneme thread width (um)	Heteroneme tubule width (um)	Heteroneme volume (ul)	Heteroneme width (um)	Heteronme width (um)	Involucrum cover (%)	Involucrum cover (coils)	Involucrum length (um)	Involucrum pigment dots fluorescence peak (nm)	Involucrum pigment stripe fluorescence peak (nm)	Nauplii ingestion rate	Nematocysts per battery	Night/Day feeding rate	Normal swimming speed (cm/s)	Number of coils	Number of gastrozooid rows per spiral	Number of gastrozooids	Number of haploneme rows	Number of hepatic stripes	Number of heteroneme filament swellings	Number of heteroneme rows (distal cnidoband) per side	Number of heteroneme rows (middle cnidoband) per side	Number of heteroneme rows (middle-distal cnidoband) per side	Number of heteroneme rows per side	Number of heteroneme rows per side (distal cnidoband)	Number of heteroneme rows per side (proximal cnidoband)	Number of heteroneme rows (proximal cnidoband) per side	Number of rhopaloneme rows	Number of serial patches	Number of terminal filaments	Number of zags	Number of zags with heteronemes	Pedicle length (um)	Pedicle width (um)	Peduncle/Gastrozooid length	Peduncle length (mm)	Platelet length	Prey length (mm)	Prey number/Gastrozooid number (%)	Proximal haploneme length (um)	Proximal haploneme width (um)	Proximal heteroneme length (um)	Relative chaetognath consumption	Relative copepod consumption	Relative decapod consumption	Relative fish consumption	Relative gelatinous consumption	Relative mollusc consumption	Rhopaloneme length (um)	Rhopaloneme tubule length (um)	Rhopaloneme width (um)	Sinker nematocyst length (um)	Sinker nematocyst width (um)	Sinker platelet width (um)	Surface salinity (%)	Surface temperature	Tentacle length (mm)	Tentacle number	Tentilla per tentacle	Terminal filament desmoneme length (um)	Terminal filament desmoneme width (um)	Terminal filament length (um)	Terminal filament nematocyst length (um)	Terminal filament nematocyst width (um)	Terminal filament number	Terminal filament rhopaloneme length (um)	Terminal filament rhopaloneme width (um)	Terminal sinker length (um)
Abyla trigona	?	?	?	120	?	?	?	?	?	396	248	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	4.2	38.5	400	12.25	153	?	?	?	?	?	?	18.02	15	?	?	?	?	?	?	?	413	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	40	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	15	5	?	?	?	?
Abylopsis tetragona	?	?	?	70	?	?	?	?	?	891	198	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	38.75	800	11.25	?	?	?	?	?	?	?	?	15	?	?	?	?	?	?	?	?	?	8	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	19	4	?	?	?	?
Abylopsis ?tetragona	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	25	?	?	20	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	21.6	?	8.3	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Agalma elegans	?	?	?	120	?	?	?	?	?	396	120	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	35	17000	5	?	?	?	?	?	?	?	50.53	?	?	?	?	?	?	?	?	17030	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Agalma okeni	?	?	?	680	?	?	?	?	?	1164	680	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	47.5	20500	6	?	?	?	?	?	?	?	40.69	?	?	?	?	?	?	?	?	20620	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	16.7	?	?	?	?	?	?	100	?	?	?	?	?	?	?	?	?	?	?	5	?	?	?	?	7	7	?	?	?	?
Angelopsis globosa	?	?	?	?	?	?	?	?	?	?	?	?	?	?	2553	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Apolemia lanosa	?	?	?	?	?	?	?	?	?	?	?	?	?	200	1156.6666666667	?	?	?	?	?	?	?	?	?	?	?	?	?	12	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Apolemia rubriversa	?	?	?	?	?	?	?	?	?	?	?	?	?	120	633.9130434783	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Apolemia uvaria	?	?	?	?	?	?	?	?	?	?	?	?	?	2000	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	20.3333333333	?	?	?	?	2.3	?	?	8.6666666667	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	2	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	48.8	?	?	?	41	14	38	0.7	13.3	6.7	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Archangelopsis typica	?	?	?	?	?	?	?	?	?	?	?	?	?	?	106	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
