"species"	"Basigaster proportion"	"Central ampulla length (um)"	"Central ampulla width (um)"	"Cnidoband depth (um)"	"?Cnidoband desmoneme length (um)"	"Cnidoband desmoneme length (um)"	"Cnidoband desmoneme number"	"?Cnidoband desmoneme width (um)"	"Cnidoband desmoneme width (um)"	"Cnidoband length (um)"	"Cnidoband width (um)"	"Cnidosac length (um)"	"Cnidosac width (um)"	"Colony length (cm)"	"Depth (m)"	"Desmoneme length (um)"	"Desmoneme/Rhopaloneme ratio"	"Desmonemes/Rhopalonemes"	"Desmoneme width (um)"	"Distal ampulla length (um)"	"Distal ampulla sidebranch length (um)"	"Distal ampulla width (um)"	"Distal haploneme length (um)"	"Distal haploneme width (um)"	"Distal heteroneme length (um)"	"Distal heteroneme width (um)"	"Fishing cycle frequency (times/hour)"	"Gastrozooid length (fixed) (mm)"	"Gastrozooid length (mm)"	"Haploneme length (um)"	"Haploneme number"	"Haploneme width (um)"	"Heteroneme length (um)"	"Heteroneme number"	"Heteroneme shaft length (um)"	"Heteroneme shaft width (um)"	"Heteroneme spine length (um)"	"Heteroneme thread width (um)"	"Heteroneme tubule width (um)"	"Heteroneme volume (ul)"	"Heteroneme width (um)"	"Heteronme width (um)"	"Involucrum cover (%)"	"Involucrum cover (coils)"	"Involucrum length (um)"	"Involucrum pigment dots fluorescence peak (nm)"	"Involucrum pigment stripe fluorescence peak (nm)"	"Nauplii ingestion rate"	"Nematocysts per battery"	"Night/Day feeding rate"	"Normal swimming speed (cm/s)"	"Number of coils"	"Number of gastrozooid rows per spiral"	"Number of gastrozooids"	"Number of haploneme rows"	"Number of hepatic stripes"	"Number of heteroneme filament swellings"	"Number of heteroneme rows (distal cnidoband) per side"	"Number of heteroneme rows (middle cnidoband) per side"	"Number of heteroneme rows (middle-distal cnidoband) per side"	"Number of heteroneme rows per side"	"Number of heteroneme rows per side (distal cnidoband)"	"Number of heteroneme rows per side (proximal cnidoband)"	"Number of heteroneme rows (proximal cnidoband) per side"	"Number of rhopaloneme rows"	"Number of serial patches"	"Number of terminal filaments"	"Number of zags"	"Number of zags with heteronemes"	"Pedicle length (um)"	"Pedicle width (um)"	"Peduncle/Gastrozooid length"	"Peduncle length (mm)"	"Platelet length"	"Prey length (mm)"	"Prey number/Gastrozooid number (%)"	"Proximal haploneme length (um)"	"Proximal haploneme width (um)"	"Proximal heteroneme length (um)"	"Relative chaetognath consumption"	"Relative copepod consumption"	"Relative decapod consumption"	"Relative fish consumption"	"Relative gelatinous consumption"	"Relative mollusc consumption"	"Rhopaloneme length (um)"	"Rhopaloneme tubule length (um)"	"Rhopaloneme width (um)"	"Sinker nematocyst length (um)"	"Sinker nematocyst width (um)"	"Sinker platelet width (um)"	"Surface salinity (%)"	"Surface temperature"	"Tentacle length (mm)"	"Tentacle number"	"Tentilla per tentacle"	"Terminal filament desmoneme length (um)"	"Terminal filament desmoneme width (um)"	"Terminal filament length (um)"	"Terminal filament nematocyst length (um)"	"Terminal filament nematocyst width (um)"	"Terminal filament number"	"Terminal filament rhopaloneme length (um)"	"Terminal filament rhopaloneme width (um)"	"Terminal sinker length (um)"	"Terminal sinker width (um)"	"NA"	"Chaetognath selectivity"	"Copepod prey length (mm)"	"Copepod selectivity"	"Ctenophore selectivity"	"Fish selectivity"	"Gastrozooid haploneme length (um)"	"Gastrozooid haploneme width (um)"	"Gastrozooid mastigophore length (um)"	"Gastrozooid mastigophore width (um)"	"Gastrozooid stenotele length (um)"	"Gastrozooid stenotele width (um)"	"Hydromedusae selectivity"	"Number of heteroneme rows (0.3 per 0.5 zag) per side"	"Number of heteroneme rows (0.5 per 3 zag) per side"	"Number of heteroneme rows (0 per 0.3 zag) per side"	"Ostracod selectivity"	"Relative amphipod consumption"	"Relative crustacean consumption"	"Relative ctenophore consumption"	"Relative hydromedusae consumption"	"Relative ostracod consumption"	"Relative salp consumption"	"Selectivity"
"1"	"Abyla trigona"	NA	NA	NA	120	NA	NA	NA	NA	NA	396	248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.2	38.5	400	12.25	153	NA	NA	NA	NA	NA	NA	18.02	15	NA	NA	NA	NA	NA	NA	NA	413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2"	"Abylopsis tetragona"	NA	NA	NA	70	NA	NA	NA	NA	NA	891	198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.75	800	11.25	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"Abylopsis ?tetragona"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.6	NA	8.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4"	"Agalma elegans"	NA	NA	NA	120	NA	NA	NA	NA	NA	396	120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35	17000	5	NA	NA	NA	NA	NA	NA	NA	50.53	NA	NA	NA	NA	NA	NA	NA	NA	17030	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"Agalma okeni"	NA	NA	NA	680	NA	NA	NA	NA	NA	1164	680	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47.5	20500	6	NA	NA	NA	NA	NA	NA	NA	40.69	NA	NA	NA	NA	NA	NA	NA	NA	20620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.7	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6"	"Angelopsis globosa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"7"	"Apolemia lanosa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200	1156.66666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8"	"Apolemia rubriversa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	120	633.913043478261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9"	"Apolemia uvaria"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.3333333333333	NA	NA	NA	NA	2.3	NA	NA	8.66666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48.8	NA	NA	NA	41	14	38	0.7	13.3	6.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"10"	"Archangelopsis typica"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
