"Abyla trigona"
"Abylopsis ?tetragona"
"Abylopsis tetragona"
"Agalma elegans"
"Agalma okeni"
"Angelopsis globosa"
"Apolemia lanosa"
"Apolemia rubriversa"
"Apolemia uvaria"
"Archangelopsis typica"
"Athorybia ?rosacea"
"Athorybia lucida"
"Athorybia rosacea"
"Bargmannia amoena"
"Bargmannia elongata"
"Bargmannia lata"
"Bassia bassensis"
"Bathyphysa sibogae"
"Chelophyes ?appendiculata"
"Chelophyes appendiculata"
"Clausophyes galeata"
"Cordagalma ordinatum"
"Cordagalma tottoni"
"Desmophyes annectens"
"Desmophyes villafrancae"
"Dimophyes arctica"
"Diphyes ?dispar"
"Diphyes dispar"
"Erenna cornuta"
"Erenna laciniata"
"Erenna richardi"
"Forskalia ?edwardsi"
"Forskalia asymmetrica"
"Forskalia contorta"
"Forskalia edwardsi"
"Forskalia formosa"
"Forskalia saccula"
"Forskalia tholoides"
"Frillagalma vityazi"
"Halistemma cupulifera"
"Halistemma foliacea"
"Halistemma maculatum"
"Halistemma rubrum"
"Halistemma striata"
"Halistemma transliratum"
"Hippopodius hippopus"
"Lensia ?conoidea"
"Lilyopsis medusa"
"Lychnagalma utricularia"
"Marrus antarcticus"
"Marrus claudanielis"
"Marrus orthocanna"
"Muggiaea atlantica"
"Nanomia bijuga"
"Nanomia cara"
"Nectadamas diomedeae"
"Nectadamas richardi"
"Nectopyramis natans"
"Nectopyramis thetys"
"Paraerenna emilyae"
"Physalia physalis"
"Physophora ?hydrostatica"
"Physophora gilmeri"
"Physophora hydrostatica"
"Prayola tottoni"
"Pyrostephos vanhoeffeni"
"Resomia convoluta"
"Resomia dunni"
"Resomia ornicephala"
"Resomia persica"
"Resomia similis"
"Rhizophysa eysenhardti"
"Rhizophysa filiformis"
"Rosacea ?cymbiformis"
"Rosacea cymbiformis"
"Rosacea flaccida"
"Rosacea limbata"
"Rosacea plicata"
"Rosacea repanda"
"Sphaeronectes ?koellikeri"
"Sphaeronectes christiansonae"
"Sphaeronectes haddocki"
"Sphaeronectes irregularis"
"Sphaeronectes koellikeri"
"Sphaeronectes tiburonae"
"Steleophysema aurophora"
"Stephalia bathyphysa"
"Stephalia dilata"
"Stephanomia amphitridis"
"Stephanophyes superba"
"Sulculeolaria biloba"
"Sulculeolaria chuni"
"Sulculeolaria monoica"
"Sulculeolaria quadrivalvis"
"Sulculeolaria turgida"
